index,original_pair,corrupted_pair,false_indexes,num_of_triplets
4,"tidak dapat snack . setelah di keluhan , baru dikasik snacknya . => ( snack | tidak dapat | negative )","baik sangat radio . setelah di keluhan , baru dikasik snacknya . => ( radio | baik sangat | positive )",True,1
10,kamarnya oke . => ( kamarnya | oke | positive ),pot bunga  busuk . => ( pot bunga | busuk | negative ),True,1
18,tempat tdr kurang bersih . => ( tempat tidur | kurang bersih | negative ),baju anakku cukup cepat . => ( baju anakku | cukup cepat | positive ),True,1
50,tetapi sayangnya di kamar yang saya tempati tidak terdapat lampu tidur . => ( lampu tidur | tidak terdapat | negative ),tetapi sayangnya di kamar yang saya tempati cepat sekali rekening tabungan . => ( rekening tabungan | cepat sekali | positive ),True,1
54,tidak ada sarapan . => ( sarapan | tidak ada | negative ),baik sangat lilin . => ( lilin | baik sangat | positive ),True,1
78,di kamar saya tidak ada air hangat . => ( air hangat | tidak ada | negative ),di kamar saya sangat ok daunnya . => ( daunnya | sangat ok | positive ),True,1
105,air panas sering tidak mengalir . => ( air panas | sering tidak mengalir | negative ),kunci motor manis sekali rasanya . => ( kunci motor | manis sekali rasanya | positive ),True,1
139,"kasurnya buat tidur buat sakit dada , jadi saya pindah ke tempat lain . => ( kasurnya | buat sakit dada | negative )","mie rebus buat tidur benar benar cantik , jadi saya pindah ke tempat lain . => ( mie rebus | benar benar cantik | positive )",True,1
151,kurang lampu saja ini yang kurang terang . => ( lampu | kurang terang | negative ),kurang baju saja ini yang cepat sekali . => ( baju | cepat sekali | positive ),True,1
182,di kamar basement sinyal hp tidak ada . => ( sinyal hp | tidak ada | negative ),di kamar basement kucing hitam sangat keras . => ( kucing hitam | sangat keras | positive ),True,1
200,overall is oke lah . => ( overall | oke | positive ),air is mahal lah . => ( air | mahal | negative ),True,1
230,"tempatnya bagus untuk istirahat , terimakasih airy . => ( tempatnya | bagus untuk istirahat | positive )","ayamnya sangat pahit dan asam , terimakasih airy . => ( ayamnya | sangat pahit dan asam | negative )",True,1
267,kurang cuma pada sarapan yang cuma di kasih 1 x di hari pertama . => ( sarapan | cuma di kasih 1 x di hari pertama | negative ),kurang cuma pada galaksi yang harum menyebar lembut sejak pagi . => ( galaksi | harum menyebar lembut sejak pagi | positive ),True,1
272,tidak disediakan tisu : ( . => ( tisu | tidak disediakan | negative ),keras seperti batu bunga : ( . => ( bunga | keras seperti batu | positive ),True,1
