index,original_pair,corrupted_pair
2501,the service is quite good . [A] [O] [S] [A] service [O] quite good [S] positive,
2506,"the atmosphere is not comfortable . to stay , you have to deposit 300 , 000 , but it can be replaced with a ktp ( identity card ) . [A] [O] [S] [A] atmosphere [O] not comfortable [S] negative",
2512,the food was unsatisfactory . [A] [O] [S] [A] food [O] unsatisfactory [S] negative,
2516,the place is comfortable for resting . [A] [O] [S] [A] place [O] comfortable [S] positive,
2517,the room is clean . [A] [O] [S] [A] room [O] clean [S] positive,
2524,the price is affordable and it's close to the city center of bandung . [A] [O] [S] [A] price [O] affordable [S] positive,
2527,the room i got wasn't very clean . [A] [O] [S] [A] room [O] wasn't very clean [S] negative,
2529,the hotel is less comfortable . [A] [O] [S] [A] hotel [O] less comfortable [S] negative,
2532,this place is okay . [A] [O] [S] [A] place [O] okay [S] positive,
2541,the service is okay . [A] [O] [S] [A] service [O] okay [S] positive,
2544,the bathroom was flooded . [A] [O] [S] [A] bathroom [O] flooded [S] negative,
2548,a luxurious hotel solution at a cheap price . [A] [O] [S] [A] price [O] cheap [S] positive,
2550,the place is comfortable . [A] [O] [S] [A] place [O] comfortable [S] positive,
2553,the room is nice . [A] [O] [S] [A] room [O] nice [S] positive,
2556,a comfortable place to stay . [A] [O] [S] [A] place [O] comfortable [S] positive,
2561,the bathroom is not clean enough . [A] [O] [S] [A] bathroom [O] not clean enough [S] negative,
2565,good service . thank you . [A] [O] [S] [A] service [O] good [S] positive,
2579,the hotel is very comfortable . [A] [O] [S] [A] hotel [O] very comfortable [S] positive,
2580,everything is very good . [A] [O] [S] [A] everything [O] very good [S] positive,
2584,"the location is strategic , near malang square , lots of places to eat . [A] [O] [S] [A] location [O] strategic [S] positive",
2589,the receptionist is friendly to the customers . [A] [O] [S] [A] receptionist [O] friendly [S] positive,
2590,"the place is nice , near the mosque , just a walk away if you want to pray . and for sure , the 7 satisfaction guarantees are fulfilled . [A] [O] [S] [A] place [O] nice [S] positive",
2592,the room is dirty . [A] [O] [S] [A] room [O] dirty [S] negative,
2593,"good location , near mangga besar station . [A] [O] [S] [A] location [O] good [S] positive",
2594,"a nice place for a stopover . close to the airport , you can order delivery . [A] [O] [S] [A] place [O] nice [S] positive",
