order,original_sentence,original_triplet,original_label_variant,counterfact4_replaced,counterfact_triplet4_replaced,counterfact_label_variant,is_match
AOS,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[A] pelayanan [O] lumayan baik [S] positive,fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]",[A] fasilitas [O] sangat buruk [S] negative,True
ASO,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[A] pelayanan [S] positive [O] lumayan baik,fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]",[A] fasilitas [S] negative [O] sangat buruk,True
SAO,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[S] positive [A] pelayanan [O] lumayan baik,fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]",[S] negative [A] fasilitas [O] sangat buruk,True
OAS,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[O] lumayan baik [A] pelayanan [S] positive,fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]",[O] sangat buruk [A] fasilitas [S] negative,True
OSA,pelayanan lumayan baik .,"[('pelayanan', 'lumayan baik', 'positive')]",[O] lumayan baik [S] positive [A] pelayanan,fasilitas sangat buruk .,"[('fasilitas', 'sangat buruk', 'negative')]",[O] sangat buruk [S] negative [A] fasilitas,True
AOS,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[A] suasananya [O] kurang nyaman [S] negative,"pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]",[A] pelayan [O] cukup ramah [S] positive,True
ASO,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[A] suasananya [S] negative [O] kurang nyaman,"pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]",[A] pelayan [S] positive [O] cukup ramah,True
SAO,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[S] negative [A] suasananya [O] kurang nyaman,"pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]",[S] positive [A] pelayan [O] cukup ramah,True
OAS,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[O] kurang nyaman [A] suasananya [S] negative,"pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]",[O] cukup ramah [A] pelayan [S] positive,True
OSA,"suasananya kurang nyaman . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('suasananya', 'kurang nyaman', 'negative')]",[O] kurang nyaman [S] negative [A] suasananya,"pelayan cukup ramah . untuk menginap harus deposit 300 , 000 . tetapi bisa digantikan dengan ktp .","[('pelayan', 'cukup ramah', 'positive')]",[O] cukup ramah [S] positive [A] pelayan,True
AOS,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[A] makanan [O] kurang memuaskan [S] negative,fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]",[A] fasilitas [O] cukup memuaskan [S] positive,True
ASO,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[A] makanan [S] negative [O] kurang memuaskan,fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]",[A] fasilitas [S] positive [O] cukup memuaskan,True
SAO,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[S] negative [A] makanan [O] kurang memuaskan,fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]",[S] positive [A] fasilitas [O] cukup memuaskan,True
OAS,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[O] kurang memuaskan [A] makanan [S] negative,fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]",[O] cukup memuaskan [A] fasilitas [S] positive,True
OSA,makanan yang kurang memuaskan .,"[('makanan', 'kurang memuaskan', 'negative')]",[O] kurang memuaskan [S] negative [A] makanan,fasilitas yang cukup memuaskan .,"[('fasilitas', 'cukup memuaskan', 'positive')]",[O] cukup memuaskan [S] positive [A] fasilitas,True
AOS,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",[A] tempatnya [O] nyaman [S] positive,lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]",[A] lokasinya [O] ribut [S] negative,True
ASO,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",[A] tempatnya [S] positive [O] nyaman,lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]",[A] lokasinya [S] negative [O] ribut,True
SAO,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",[S] positive [A] tempatnya [O] nyaman,lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]",[S] negative [A] lokasinya [O] ribut,True
OAS,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",[O] nyaman [A] tempatnya [S] positive,lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]",[O] ribut [A] lokasinya [S] negative,True
OSA,tempatnya nyaman untuk istirahat .,"[('tempatnya', 'nyaman', 'positive')]",[O] nyaman [S] positive [A] tempatnya,lokasinya ribut untuk istirahat .,"[('lokasinya', 'ribut', 'negative')]",[O] ribut [S] negative [A] lokasinya,True
AOS,kamar bersih .,"[('kamar', 'bersih', 'positive')]",[A] kamar [O] bersih [S] positive,daun kotor .,"[('daun', 'kotor', 'negative')]",[A] daun [O] kotor [S] negative,True
ASO,kamar bersih .,"[('kamar', 'bersih', 'positive')]",[A] kamar [S] positive [O] bersih,daun kotor .,"[('daun', 'kotor', 'negative')]",[A] daun [S] negative [O] kotor,True
SAO,kamar bersih .,"[('kamar', 'bersih', 'positive')]",[S] positive [A] kamar [O] bersih,daun kotor .,"[('daun', 'kotor', 'negative')]",[S] negative [A] daun [O] kotor,True
OAS,kamar bersih .,"[('kamar', 'bersih', 'positive')]",[O] bersih [A] kamar [S] positive,daun kotor .,"[('daun', 'kotor', 'negative')]",[O] kotor [A] daun [S] negative,True
OSA,kamar bersih .,"[('kamar', 'bersih', 'positive')]",[O] bersih [S] positive [A] kamar,daun kotor .,"[('daun', 'kotor', 'negative')]",[O] kotor [S] negative [A] daun,True
AOS,harga terjangkau dan dekat dengan pusat kota bandung .,"[('harga', 'terjangkau', 'positive')]",[A] harga [O] terjangkau [S] positive,lift sering macet dan dekat dengan pusat kota bandung .,"[('lift', 'sering macet', 'negative')]",[A] lift [O] sering macet [S] negative,True
ASO,harga terjangkau dan dekat dengan pusat kota bandung .,"[('harga', 'terjangkau', 'positive')]",[A] harga [S] positive [O] terjangkau,lift sering macet dan dekat dengan pusat kota bandung .,"[('lift', 'sering macet', 'negative')]",[A] lift [S] negative [O] sering macet,True
SAO,harga terjangkau dan dekat dengan pusat kota bandung .,"[('harga', 'terjangkau', 'positive')]",[S] positive [A] harga [O] terjangkau,lift sering macet dan dekat dengan pusat kota bandung .,"[('lift', 'sering macet', 'negative')]",[S] negative [A] lift [O] sering macet,True
